memory_system,model,model_label,scale,s,s_label,key,question_id,question_type,question_type_short,success,retrieval_calls,pass_at_b2,p_budget_exhausted,p_wrong_within_budget,api_calls,prompt_tokens,completion_tokens,total_tokens,stopped_by
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:10d9b85a,10d9b85a,,unknown,False,1,False,False,True,1,7516,68,7584,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:10e09553,10e09553,,unknown,False,1,False,False,True,1,5811,26,5837,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:118b2229,118b2229,,unknown,True,1,True,False,False,1,3226,21,3247,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1192316e,1192316e,,unknown,True,1,True,False,False,1,7304,59,7363,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:129d1232,129d1232,,unknown,False,1,False,False,True,1,10608,66,10674,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1568498a,1568498a,,unknown,True,1,True,False,False,1,2435,29,2464,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:15745da0,15745da0,,unknown,True,1,True,False,False,1,4256,18,4274,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:15745da0_abs,15745da0_abs,,unknown,False,1,False,False,True,1,4257,18,4275,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:157a136e,157a136e,,unknown,False,1,False,False,True,1,7534,96,7630,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:16c90bf4,16c90bf4,,unknown,True,1,True,False,False,1,1940,56,1996,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:184da446,184da446,,unknown,True,1,True,False,False,1,8805,26,8831,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:18bc8abd,18bc8abd,,unknown,True,1,True,False,False,1,7930,20,7950,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:18dcd5a5,18dcd5a5,,unknown,True,1,True,False,False,1,1335,20,1355,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1903aded,1903aded,,unknown,True,1,True,False,False,1,580,22,602,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:195a1a1b,195a1a1b,,unknown,True,1,True,False,False,1,4491,397,4888,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:19b5f2b3,19b5f2b3,,unknown,True,1,True,False,False,1,3960,16,3976,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:19b5f2b3_abs,19b5f2b3_abs,,unknown,False,1,False,False,True,1,3961,16,3977,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1a1907b4,1a1907b4,,unknown,False,1,False,False,True,1,4234,85,4319,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1a8a66a6,1a8a66a6,,unknown,False,1,False,False,True,1,11153,23,11176,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1b9b7252,1b9b7252,,unknown,True,1,True,False,False,1,1456,32,1488,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1c0ddc50,1c0ddc50,,unknown,False,1,False,False,True,1,4313,162,4475,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1c549ce4,1c549ce4,,unknown,True,1,True,False,False,1,6585,47,6632,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1cea1afa,1cea1afa,,unknown,False,1,False,False,True,1,7039,85,7124,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1d4da289,1d4da289,,unknown,True,1,True,False,False,1,1134,25,1159,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1d4e3b97,1d4e3b97,,unknown,True,1,True,False,False,1,3801,97,3898,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1da05512,1da05512,,unknown,False,1,False,False,True,1,4827,147,4974,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1de5cff2,1de5cff2,,unknown,True,1,True,False,False,1,1597,24,1621,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1e043500,1e043500,,unknown,True,1,True,False,False,1,3243,25,3268,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1f2b8d4f,1f2b8d4f,,unknown,True,1,True,False,False,1,7067,61,7128,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:1faac195,1faac195,,unknown,True,1,True,False,False,1,3651,21,3672,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2133c1b5,2133c1b5,,unknown,True,1,True,False,False,1,5904,25,5929,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2133c1b5_abs,2133c1b5_abs,,unknown,False,2,False,False,True,2,11820,48,11868,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:21436231,21436231,,unknown,True,1,True,False,False,1,4126,24,4150,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:21d02d0d,21d02d0d,,unknown,False,1,False,False,True,1,6202,29,6231,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:22d2cb42,22d2cb42,,unknown,True,1,True,False,False,1,5547,77,5624,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2311e44b,2311e44b,,unknown,True,1,True,False,False,1,5485,26,5511,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2311e44b_abs,2311e44b_abs,,unknown,False,1,False,False,True,1,5485,25,5510,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2318644b,2318644b,,unknown,False,1,False,False,True,1,7400,40,7440,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:25e5aa4f,25e5aa4f,,unknown,True,1,True,False,False,1,4374,20,4394,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2698e78f,2698e78f,,unknown,False,1,False,False,True,1,6424,17,6441,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2698e78f_abs,2698e78f_abs,,unknown,False,1,False,False,True,1,6420,22,6442,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:26bdc477,26bdc477,,unknown,True,1,True,False,False,1,7014,23,7037,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:27016adc,27016adc,,unknown,False,1,False,False,True,1,8951,127,9078,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2788b940,2788b940,,unknown,True,1,True,False,False,1,12922,63,12985,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:28bcfaac,28bcfaac,,unknown,True,1,True,False,False,1,1125,24,1149,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:28dc39ac,28dc39ac,,unknown,False,1,False,False,True,1,18583,135,18718,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:29f2956b,29f2956b,,unknown,True,1,True,False,False,1,4333,25,4358,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:29f2956b_abs,29f2956b_abs,,unknown,True,1,True,False,False,1,4334,63,4397,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2a1811e2,2a1811e2,,unknown,False,1,False,False,True,1,6574,55,6629,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2b8f3739,2b8f3739,,unknown,False,1,False,False,True,1,10699,49,10748,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2bf43736,2bf43736,,unknown,True,1,True,False,False,1,2494,151,2645,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2c63a862,2c63a862,,unknown,False,1,False,False,True,1,6157,77,6234,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2ce6a0f2,2ce6a0f2,,unknown,False,1,False,False,True,1,11747,55,11802,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2e6d26dc,2e6d26dc,,unknown,False,1,False,False,True,1,10915,109,11024,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2ebe6c90,2ebe6c90,,unknown,False,1,False,False,True,1,6516,51,6567,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:2ebe6c92,2ebe6c92,,unknown,True,1,True,False,False,1,6494,24,6518,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:311778f1,311778f1,,unknown,True,1,True,False,False,1,3902,29,3931,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:32260d93,32260d93,,unknown,False,1,False,False,True,1,3961,45,4006,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:3249768e,3249768e,,unknown,True,1,True,False,False,1,1074,26,1100,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:352ab8bd,352ab8bd,,unknown,True,1,True,False,False,1,2425,53,2478,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:35a27287,35a27287,,unknown,False,1,False,False,True,1,4663,122,4785,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:36580ce8,36580ce8,,unknown,True,1,True,False,False,1,3821,19,3840,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:36b9f61e,36b9f61e,,unknown,False,1,False,False,True,1,10391,115,10506,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:370a8ff4,370a8ff4,,unknown,False,1,False,False,True,1,6928,134,7062,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:37d43f65,37d43f65,,unknown,True,1,True,False,False,1,3747,89,3836,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:37f165cf,37f165cf,,unknown,True,1,True,False,False,1,6580,48,6628,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:38146c39,38146c39,,unknown,False,1,False,False,True,1,4924,59,4983,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:3a704032,3a704032,,unknown,False,1,False,False,True,1,10786,72,10858,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:3b6f954b,3b6f954b,,unknown,True,1,True,False,False,1,3245,20,3265,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:3ba21379,3ba21379,,unknown,False,1,False,False,True,1,9614,29,9643,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:3c1045c8,3c1045c8,,unknown,True,1,True,False,False,1,8421,52,8473,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:3d86fd0a,3d86fd0a,,unknown,True,1,True,False,False,1,2124,19,2143,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:3e321797,3e321797,,unknown,True,1,True,False,False,1,1071,46,1117,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:3f1e9474,3f1e9474,,unknown,True,1,True,False,False,1,4378,17,4395,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:3fdac837,3fdac837,,unknown,False,2,False,False,True,2,8383,58,8441,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:3fe836c9,3fe836c9,,unknown,True,1,True,False,False,1,7770,63,7833,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:4100d0a0,4100d0a0,,unknown,True,1,True,False,False,1,3159,61,3220,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:41275add,41275add,,unknown,True,1,True,False,False,1,703,60,763,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:41698283,41698283,,unknown,True,1,True,False,False,1,7637,46,7683,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:42ec0761,42ec0761,,unknown,True,1,True,False,False,1,6227,71,6298,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:4388e9dd,4388e9dd,,unknown,True,1,True,False,False,1,1631,30,1661,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:45dc21b6,45dc21b6,,unknown,True,1,True,False,False,1,6696,19,6715,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:46a3abf7,46a3abf7,,unknown,False,1,False,False,True,1,11604,99,11703,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:488d3006,488d3006,,unknown,True,1,True,False,False,1,1765,51,1816,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:4adc0475,4adc0475,,unknown,False,1,False,False,True,1,8397,32,8429,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:4b24c848,4b24c848,,unknown,True,1,True,False,False,1,4970,66,5036,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:4baee567,4baee567,,unknown,True,1,True,False,False,1,2057,40,2097,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:4bc144e2,4bc144e2,,unknown,True,1,True,False,False,1,4399,45,4444,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:4c36ccef,4c36ccef,,unknown,True,1,True,False,False,1,1103,22,1125,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:4d6b87c8,4d6b87c8,,unknown,True,1,True,False,False,1,6695,23,6718,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:4dfccbf7,4dfccbf7,,unknown,False,1,False,False,True,1,6813,88,6901,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:4dfccbf8,4dfccbf8,,unknown,False,1,False,False,True,1,6781,50,6831,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:4f54b7c9,4f54b7c9,,unknown,False,1,False,False,True,1,6906,111,7017,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:4fd1909e,4fd1909e,,unknown,True,1,True,False,False,1,2192,26,2218,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:5025383b,5025383b,,unknown,True,1,True,False,False,1,6804,23,6827,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:505af2f5,505af2f5,,unknown,True,1,True,False,False,1,4146,276,4422,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:50635ada,50635ada,,unknown,True,1,True,False,False,1,6232,27,6259,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:51a45a95,51a45a95,,unknown,True,1,True,False,False,1,2703,47,2750,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:51b23612,51b23612,,unknown,True,1,True,False,False,1,1854,34,1888,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:51c32626,51c32626,,unknown,False,1,False,False,True,1,6075,31,6106,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:54026fce,54026fce,,unknown,False,1,False,False,True,1,3351,92,3443,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:545bd2b5,545bd2b5,,unknown,True,1,True,False,False,1,4042,35,4077,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:55241a1f,55241a1f,,unknown,False,1,False,False,True,1,7072,61,7133,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:561fabcd,561fabcd,,unknown,True,1,True,False,False,1,2457,26,2483,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:577d4d32,577d4d32,,unknown,True,1,True,False,False,1,3202,20,3222,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:57f827a0,57f827a0,,unknown,False,1,False,False,True,1,3892,202,4094,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:5809eb10,5809eb10,,unknown,True,1,True,False,False,1,2488,33,2521,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:5831f84d,5831f84d,,unknown,True,1,True,False,False,1,6723,23,6746,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:58470ed2,58470ed2,,unknown,True,1,True,False,False,1,1555,56,1611,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:58bf7951,58bf7951,,unknown,True,1,True,False,False,1,2459,26,2485,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:58ef2f1c,58ef2f1c,,unknown,True,1,True,False,False,1,3071,30,3101,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:59524333,59524333,,unknown,True,1,True,False,False,1,5559,31,5590,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:5a4f22c0,5a4f22c0,,unknown,True,1,True,False,False,1,6348,16,6364,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:5a7937c8,5a7937c8,,unknown,False,1,False,False,True,1,9922,79,10001,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:5c40ec5b,5c40ec5b,,unknown,True,1,True,False,False,1,5224,25,5249,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:5d3d2817,5d3d2817,,unknown,True,1,True,False,False,1,3787,20,3807,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:5e1b23de,5e1b23de,,unknown,False,1,False,False,True,1,3998,18,4016,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:60036106,60036106,,unknown,True,1,True,False,False,1,7478,69,7547,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:60159905,60159905,,unknown,False,1,False,False,True,1,6845,98,6943,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:603deb26,603deb26,,unknown,True,1,True,False,False,1,7121,33,7154,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:60472f9c,60472f9c,,unknown,False,1,False,False,True,1,11202,83,11285,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:6071bd76,6071bd76,,unknown,False,1,False,False,True,1,5274,77,5351,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:60bf93ed,60bf93ed,,unknown,True,1,True,False,False,1,6466,46,6512,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:60bf93ed_abs,60bf93ed_abs,,unknown,False,1,False,False,True,1,6466,38,6504,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:60d45044,60d45044,,unknown,False,1,False,False,True,1,3623,78,3701,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:618f13b2,618f13b2,,unknown,True,1,True,False,False,1,6265,64,6329,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:61f8c8f8,61f8c8f8,,unknown,True,1,True,False,False,1,6415,55,6470,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:6222b6eb,6222b6eb,,unknown,True,1,True,False,False,1,2492,24,2516,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:6456829e,6456829e,,unknown,False,1,False,False,True,1,7032,16,7048,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:6456829e_abs,6456829e_abs,,unknown,False,1,False,False,True,1,7032,16,7048,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:65240037,65240037,,unknown,True,1,True,False,False,1,2384,28,2412,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:6613b389,6613b389,,unknown,True,1,True,False,False,1,9415,54,9469,model
MemOS-text,openai_qwen3-8b,Qwen 8B,s_0,0,$s_0$,s_0:66f24dbb,66f24dbb,,unknown,True,1,True,False,False,1,1703,28,1731,model
