row_id,model_label,qwen_model_id,dataset_name,s,family,question_type_short,success,llm_judge,f1,retrieval_calls,react_steps,context_tokens,qwen_input_price_cny_per_1m,qwen_output_price_cny_per_1m,qwen_chat_prompt_tokens,qwen_chat_completion_tokens,qwen_chat_calls,qwen_chat_cost_cny,qwen_chat_cost_usd_report,q0_corpus_rows,q0_memory_files_indexed_est,q0_embedding_chunks_est,q0_embedding_prompt_tokens_est,q0_embedding_cost_usd_est,q1_query_embedding_prompt_tokens_est,q1_query_embedding_calls_est,q1_query_embedding_cost_usd_est,embedding_cost_usd_est,embedding_model,embedding_cost_basis,judge_model,judge_prompt_tokens,judge_completion_tokens,judge_calls,judge_cost_usd,total_cost_cny_report,total_cost_usd_report,original_runner_total_cost_usd,result_path,source_root
19,qwen8b,qwen3-8b,s0/longmem_ssa/lm_13_a0308,0,longmem_ssa,SSA,1,1,,1,2,1823,0.5,2.0,2811,98,2,0.0016015,0.00023431556153801134,1,2,10,2887,5.774e-05,5,1,1.0000000000000001e-07,5.784e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1350,230,3,0.00034,0.004320656832,0.0006321555615380113,0.00034,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p10_smoke10_under_p5_20260422_v1
20,qwen8b,qwen3-8b,s0/longmem_ssa/lm_16_a0057,0,longmem_ssa,SSA,1,1,,1,2,1904,0.5,2.0,2880,135,2,0.00171,0.00025019020307836366,1,2,11,3137,6.274e-05,8,1,1.6e-07,6.29e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1464,219,3,0.000351,0.00453892372,0.0006640902030783637,0.000351,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p10_smoke10_under_p5_20260422_v1
21,qwen8b,qwen3-8b,s0/longmem_ssa/lm_16_a0135,0,longmem_ssa,SSA,1,1,,1,2,1902,0.5,2.0,2880,135,2,0.00171,0.00025019020307836366,1,2,11,3137,6.274e-05,8,1,1.6e-07,6.29e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1464,234,3,0.00036,0.00460043692,0.0006730902030783636,0.00036,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p10_smoke10_under_p5_20260422_v1
22,qwen8b,qwen3-8b,s0/longmem_ssa/lm_18_a0150,0,longmem_ssa,SSA,1,1,,1,2,1432,0.5,2.0,2204,181,2,0.001464,0.00021419792824954644,1,2,5,883,1.766e-05,11,1,2.2e-07,1.788e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1689,186,3,0.000365,0.004080908224,0.0005970779282495463,0.000365,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
23,qwen8b,qwen3-8b,s0/longmem_ssa/lm_18_a0231,0,longmem_ssa,SSA,1,1,,1,2,1426,0.5,2.0,2204,181,2,0.001464,0.00021419792824954644,1,2,5,883,1.766e-05,11,1,2.2e-07,1.788e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1689,208,3,0.000378,0.004169760624000001,0.0006100779282495464,0.000378,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
24,qwen8b,qwen3-8b,s0/longmem_ssa/lm_18_a0313,0,longmem_ssa,SSA,1,1,,1,2,1426,0.5,2.0,2204,181,2,0.001464,0.00021419792824954644,1,2,5,883,1.766e-05,11,1,2.2e-07,1.788e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1689,198,3,0.000372,0.004128751824,0.0006040779282495464,0.000372,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
25,qwen8b,qwen3-8b,s0/longmem_ssa/lm_19_a0182,0,longmem_ssa,SSA,1,1,,1,2,1801,0.5,2.0,2773,111,2,0.0016085,0.00023533973195996954,1,2,9,2147,4.294e-05,4,1,8e-08,4.302e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1425,270,3,0.000376,0.004472417896,0.0006543597319599695,0.000376,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
26,qwen8b,qwen3-8b,s0/longmem_ssa/lm_19_a0437,0,longmem_ssa,SSA,1,1,,1,2,1799,0.5,2.0,2774,111,2,0.001609,0.00023541288699010943,1,2,9,2147,4.294e-05,4,1,8e-08,4.302e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1425,264,3,0.000372,0.004445578696,0.0006504328869901093,0.000372,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
27,qwen8b,qwen3-8b,s0/longmem_ssa/lm_1_a0139,0,longmem_ssa,SSA,0,0,,1,2,2472,0.5,2.0,3399,108,2,0.0019155,0.0002802569204658512,1,2,14,5621,0.00011242,11,1,2.2e-07,0.00011263999999999999,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1377,300,3,0.000387,0.005330439472,0.0007798969204658512,0.000387,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
28,qwen8b,qwen3-8b,s0/longmem_ssa/lm_1_a0196,0,longmem_ssa,SSA,1,1,,1,2,2478,0.5,2.0,3399,107,2,0.0019135,0.0002799643003452917,1,2,14,5621,0.00011242,11,1,2.2e-07,0.00011263999999999999,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1377,225,3,0.000342,0.005020873472,0.0007346043003452917,0.000342,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
29,qwen8b,qwen3-8b,s0/longmem_ssa/lm_20_a0003,0,longmem_ssa,SSA,1,1,,1,2,1941,0.5,2.0,2957,90,2,0.0016585,0.0002426552349739568,1,2,8,2403,4.8060000000000004e-05,7,1,1.4e-07,4.8200000000000006e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1287,29,3,0.00021,0.00342324536,0.0005008552349739568,0.00021,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
30,qwen8b,qwen3-8b,s0/longmem_ssa/lm_22_a0116,0,longmem_ssa,SSA,1,1,,1,2,969,0.5,2.0,1829,100,2,0.0011145,0.0001630625621817756,1,2,3,629,1.258e-05,6,1,1.2e-07,1.27e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1335,177,3,0.000306,0.00329275076,0.00048176256218177563,0.000306,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
31,qwen8b,qwen3-8b,s0/longmem_ssa/lm_22_a0333,0,longmem_ssa,SSA,1,1,,1,2,967,0.5,2.0,1829,100,2,0.0011145,0.0001630625621817756,1,2,3,629,1.258e-05,6,1,1.2e-07,1.27e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1335,177,3,0.000306,0.00329275076,0.00048176256218177563,0.000306,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
32,qwen8b,qwen3-8b,s0/longmem_ssa/lm_22_a0447,0,longmem_ssa,SSA,1,1,,1,2,969,0.5,2.0,1829,100,2,0.0011145,0.0001630625621817756,1,2,3,629,1.258e-05,6,1,1.2e-07,1.27e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1335,177,3,0.000306,0.00329275076,0.00048176256218177563,0.000306,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
33,qwen8b,qwen3-8b,s0/longmem_ssa/lm_24_a0121,0,longmem_ssa,SSA,1,1,,1,2,1845,0.5,2.0,2822,128,2,0.001667,0.00024389887048633464,1,2,30,9313,0.00018626,17,1,3.4000000000000003e-07,0.00018659999999999998,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1422,223,3,0.000347,0.00531404928,0.0007774988704863345,0.000347,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
34,qwen8b,qwen3-8b,s0/longmem_ssa/lm_26_a0100,0,longmem_ssa,SSA,0,0,,1,2,1288,0.5,2.0,2137,83,2,0.0012345,0.00018061976941534497,1,2,4,1270,2.54e-05,5,1,1.0000000000000001e-07,2.55e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1293,179,3,0.000301,0.0034660622000000003,0.000507119769415345,0.000301,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
35,qwen8b,qwen3-8b,s0/longmem_ssa/lm_26_a0134,0,longmem_ssa,SSA,0,0,,1,2,1284,0.5,2.0,2136,83,2,0.001234,0.00018054661438520513,1,2,4,1270,2.54e-05,5,1,1.0000000000000001e-07,2.55e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1293,171,3,0.000297,0.0034382230000000007,0.0005030466143852052,0.000297,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
36,qwen8b,qwen3-8b,s0/longmem_ssa/lm_26_a0314,0,longmem_ssa,SSA,0,0,,1,2,1284,0.5,2.0,2137,83,2,0.0012345,0.00018061976941534497,1,2,4,1270,2.54e-05,5,1,1.0000000000000001e-07,2.55e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1293,179,3,0.000301,0.0034660622000000003,0.000507119769415345,0.000301,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
37,qwen8b,qwen3-8b,s0/longmem_ssa/lm_26_a0450,0,longmem_ssa,SSA,0,0,,1,2,1284,0.5,2.0,2137,83,2,0.0012345,0.00018061976941534497,1,2,4,1270,2.54e-05,5,1,1.0000000000000001e-07,2.55e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1293,171,3,0.000297,0.0034387230000000003,0.000503119769415345,0.000297,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
38,qwen8b,qwen3-8b,s0/longmem_ssa/lm_26_a0495,0,longmem_ssa,SSA,0,0,,1,2,1286,0.5,2.0,2137,83,2,0.0012345,0.00018061976941534497,1,2,4,1270,2.54e-05,5,1,1.0000000000000001e-07,2.55e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1293,178,3,0.000301,0.0034660622000000003,0.000507119769415345,0.000301,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
39,qwen8b,qwen3-8b,s0/longmem_ssa/lm_27_a0001,0,longmem_ssa,SSA,1,1,,1,2,1882,0.5,2.0,2882,111,2,0.001663,0.00024331363024521565,1,2,8,2439,4.8780000000000004e-05,20,1,4.0000000000000003e-07,4.918000000000001e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1356,228,3,0.00034,0.004322967464,0.0006324936302452156,0.00034,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
40,qwen8b,qwen3-8b,s0/longmem_ssa/lm_27_a0334,0,longmem_ssa,SSA,1,1,,1,2,1881,0.5,2.0,2882,111,2,0.001663,0.00024331363024521565,1,2,8,2439,4.8780000000000004e-05,20,1,4.0000000000000003e-07,4.918000000000001e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1356,216,3,0.000333,0.0042751238640000005,0.0006254936302452157,0.000333,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
41,qwen8b,qwen3-8b,s0/longmem_ssa/lm_27_a0422,0,longmem_ssa,SSA,1,1,,1,2,1878,0.5,2.0,2882,111,2,0.001663,0.00024331363024521565,1,2,8,2439,4.8780000000000004e-05,20,1,4.0000000000000003e-07,4.918000000000001e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1356,207,3,0.000328,0.004240949864000001,0.0006204936302452157,0.000328,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
42,qwen8b,qwen3-8b,s0/longmem_ssa/lm_28_a0038,0,longmem_ssa,SSA,1,1,,1,2,2378,0.5,2.0,3346,115,2,0.001903,0.0002784280447123544,1,2,5,2848,5.6960000000000004e-05,13,1,2.6e-07,5.7220000000000004e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1335,237,3,0.000342,0.004631588856000001,0.0006776480447123544,0.000342,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
43,qwen8b,qwen3-8b,s0/longmem_ssa/lm_28_a0060,0,longmem_ssa,SSA,1,1,,1,2,2382,0.5,2.0,3346,115,2,0.001903,0.0002784280447123544,1,2,5,2848,5.6960000000000004e-05,13,1,2.6e-07,5.7220000000000004e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1335,236,3,0.000342,0.004631588856000001,0.0006776480447123544,0.000342,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
44,qwen8b,qwen3-8b,s0/longmem_ssa/lm_28_a0094,0,longmem_ssa,SSA,1,1,,1,2,2388,0.5,2.0,3346,115,2,0.001903,0.0002784280447123544,1,2,5,2848,5.6960000000000004e-05,13,1,2.6e-07,5.7220000000000004e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1335,232,3,0.000339,0.0046110844560000004,0.0006746480447123544,0.000339,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
45,qwen8b,qwen3-8b,s0/longmem_ssa/lm_28_a0109,0,longmem_ssa,SSA,1,1,,1,2,2382,0.5,2.0,3346,115,2,0.001903,0.0002784280447123544,1,2,5,2848,5.6960000000000004e-05,13,1,2.6e-07,5.7220000000000004e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1335,233,3,0.00034,0.0046179192560000006,0.0006756480447123544,0.00034,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
46,qwen8b,qwen3-8b,s0/longmem_ssa/lm_28_a0123,0,longmem_ssa,SSA,1,1,,1,2,2388,0.5,2.0,3346,115,2,0.001903,0.0002784280447123544,1,2,5,2848,5.6960000000000004e-05,13,1,2.6e-07,5.7220000000000004e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1335,231,3,0.000339,0.0046110844560000004,0.0006746480447123544,0.000339,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
47,qwen8b,qwen3-8b,s0/longmem_ssa/lm_28_a0241,0,longmem_ssa,SSA,1,1,,1,2,2386,0.5,2.0,3346,115,2,0.001903,0.0002784280447123544,1,2,5,2848,5.6960000000000004e-05,13,1,2.6e-07,5.7220000000000004e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1335,241,3,0.000345,0.004652093256,0.0006806480447123543,0.000345,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
48,qwen8b,qwen3-8b,s0/longmem_ssa/lm_29_a0158,0,longmem_ssa,SSA,1,1,,1,2,2099,0.5,2.0,3044,90,2,0.001702,0.0002490197225961257,1,2,23,8700,0.000174,7,1,1.4e-07,0.00017414,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1407,191,3,0.000326,0.005120356872,0.0007491597225961257,0.000326,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
49,qwen8b,qwen3-8b,s0/longmem_ssa/lm_2_a0168,0,longmem_ssa,SSA,1,1,,1,2,1998,0.5,2.0,2976,121,2,0.00173,0.00025311640428395853,1,2,13,4368,8.736e-05,14,1,2.8e-07,8.764000000000001e-05,text-embedding-3-small,reconstructed_estimate_openclaw_chunks_and_queries,gpt-4o-mini,1368,201,3,0.000326,0.0045571466720000006,0.0006667564042839585,0.000326,results.json,longmemeval_fixed2k_openclaw_doc_qwen8b_fidelity_otherapi_p5_retry3_remaining950_20260422_v2
